"","","","","","","","","","","",""
"Questions sur les bases informatiques","","","Questions sur les bases algorithmiques","","","Questions sur les bases de Python","","","Question sur les outils plus avancés sur Python","",""
"Sauriez-vous expliquer globalement quel est le rôle du disque dur, de la mémoire vive et d’un système d’exploitation sur un ordinateur ?","Savez-vous afficher le code source d’une page internet ?","Savez-vous ce qu’est un fichier de format CSV ?","Avez-vous déjà appris les bases d’un langage de programmation (R compris) ?","Savez-vous ce qu’est une boucle en programmation ?","Avez-vous déjà eu l’occasion d’utiliser de la programmation en pratique ?","Sauriez-vous reconnaître si un script est écrit en langage Python ?","Avez-vous déjà ouvert une console Python pour exécuter du code ?","Avez-vous déjà programmé un peu en Python ?","Avez-vous déjà écrit une fonction pour réaliser des traitements ?","Avez-vous déjà utilisé la bibliothèque Pandas ?","Savez-vous superposer deux graphiques ensemble ?"
"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Non"
"Non","Non","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non"
"Non","Non","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non"
"Oui","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non"
"Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non"
"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non"
"Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non"
"Oui","Non","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Non","Non"
"Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non"
"Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Non"
"Oui","Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non"
"Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non"
"Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non"
"Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non"
"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non"
