"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
1,"nous sommes entre 6 et 10 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1995","Windows","rarement","parfois","souvent","jamais","jamais","jamais","jamais","parfois","souvent","souvent","souvent","jamais","jamais","jamais","jamais","souvent","souvent","toujours","parfois","souvent","jamais","jamais","rarement","parfois","parfois","jamais","jamais","rarement","rarement","par des collègues, des amis;par mon institution, mon entreprise;via les réseaux sociaux numériques (Twitter...);en cherchant par moi-même","parfois","souvent","parfois","rarement","jamais","jamais","je ne sais pas","souvent","non",,,"non","jamais","rarement","jamais","souvent","souvent","souvent","souvent","jamais","Lime survey","des logiciels internes à mon organisation;des logiciels payants","jamais",,"souvent","tableur pour les données statistiques","jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","souvent","parfois","jamais","aucun","souvent","souvent","parfois","parfois","jamais","jamais","rarement","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;diffusion en accès libre (choix personnel)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","oui","non","non","non","non","non","non","non","toujours","jamais","rarement","rarement","parfois","parfois","souvent","jamais","jamais","jamais","jamais","souvent","rarement","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","oui","je ne sais pas","un homme","Sciences humaines","61 à 65 ans"
2,"nous sommes plus de 50 personnes","ingénieur / ingénieure de recherche","en CDI",,"2005","Windows","rarement","parfois","parfois","parfois","parfois","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","jamais","jamais","parfois","souvent","souvent","souvent","souvent","souvent","rarement","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation;par une veille sur ces questions;en cherchant par moi-même","toujours","toujours","toujours","toujours","souvent","souvent","unknown","souvent","oui","prestataire","prestataire externe","non","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","excell word","des logiciels libres et gratuits;des logiciels internes à mon organisation;des logiciels issus d'un projet de recherche","souvent","clean","rarement","outil statistique","jamais",,"jamais","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent",,"souvent","souvent","souvent","parfois","souvent","parfois","parfois","parfois","parfois","parfois","parfois","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges)","rarement","rarement","rarement","parfois","parfois","parfois","parfois","parfois","oui","non","oui","oui","oui","oui","oui","oui","oui","rarement","rarement","rarement","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","souvent","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","oui","oui","oui",,,"un homme","Médecine","46 à 50 ans"
3,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2006","Windows","parfois","rarement","souvent","jamais","souvent","jamais","jamais","rarement","parfois","souvent","souvent","jamais","souvent","jamais","jamais","rarement","parfois","souvent","souvent","souvent","jamais","jamais","parfois","parfois","rarement","jamais","jamais","souvent","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","rarement","jamais","jamais","jamais","jamais","raisonable","parfois","non",,,"non","jamais","jamais","jamais","souvent","souvent","souvent","rarement","rarement","JASP","des logiciels libres et gratuits;des logiciels internes à mon organisation;des logiciels créés à cette fin (seul ou avec des collègues);des logiciels issus d'un projet de recherche;des logiciels version d'essai ou démo","jamais",,"jamais",,"jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","parfois","parfois","jamais","ppt","parfois","souvent","souvent","rarement","rarement","jamais","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges);diffusion en accès libre (choix personnel)","jamais","toujours","jamais","parfois","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","souvent","jamais","toujours","toujours","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui, tout est dans la chronologie","non","un homme","Médecine","36 à 40 ans"
4,"nous sommes entre 2 et 5 personnes","directeur / directrice de recherche (CNRS, INSERM, INRAE, CNES...)","fonctionnaire ou assimilé",,"1989","Windows;autres OS (Android...)","souvent","rarement","souvent","jamais","toujours","jamais","rarement","jamais","jamais","rarement","souvent","jamais","toujours","jamais","rarement","jamais","jamais","souvent","souvent","toujours","rarement","jamais","jamais","toujours","jamais","jamais","jamais","toujours","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","toujours","rarement","rarement","jamais","Question peu claire. De l'ordre de plusieurs gigaoctets","rarement","oui","Aucun tiers","Aucun tiers","non","parfois","souvent","jamais","toujours","parfois","toujours","jamais","toujours","Question peu claire.  Excel, SPSS, logiciels d'imagerie commerciaux (Philips)","des logiciels payants","jamais",,"souvent","Excel, SPSS","jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","souvent","jamais",,"parfois","toujours","rarement","parfois","jamais","rarement","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges);refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","jamais","jamais","rarement","souvent","jamais","rarement","jamais","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","non","non","non","Oui","Aucune idée","une femme","Médecine","56 à 60 ans"
5,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","en CDD",,"2015","MacOS","souvent","rarement","parfois","jamais","jamais","jamais","souvent","jamais","toujours","parfois","parfois","jamais","rarement","jamais","souvent","jamais","toujours","toujours","parfois","rarement","jamais","rarement","parfois","parfois","jamais","jamais","jamais","parfois","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","souvent","parfois","jamais","jamais","?","rarement","oui","Dirceteur de these","Directeur de thèse/ Responsable Labo","non","parfois","jamais","parfois","souvent","parfois","souvent","parfois","jamais","?","des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels libres et gratuits;des logiciels internes à mon organisation","jamais",,"parfois","Excel r","parfois","Image j dti studii","jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","jamais","Ppt image j","souvent","toujours","jamais","parfois","rarement","rarement","jamais","rarement","rarement","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges);refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","oui","non","oui","non","non","non","non","non","non","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Oui","Oui","une femme","Médecine","31 à 35 ans"
6,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","en CDI",,"2019","Windows","rarement","jamais","parfois","jamais","toujours","jamais","parfois","parfois","souvent","souvent","parfois","jamais","toujours","jamais","parfois","parfois","souvent","souvent","jamais","souvent","jamais","jamais","parfois","souvent","jamais","rarement","jamais","souvent","souvent","par des collègues, des amis","souvent","souvent","jamais","jamais","jamais","jamais","100 observations","jamais","oui","Institution","Institution","non","jamais","parfois","parfois","rarement","jamais","parfois","jamais","jamais","ENNOVClinical","des logiciels libres et gratuits;des logiciels payants","jamais",,"parfois","NVIvo, EPIInfo","jamais",,"jamais","toujours","rarement","jamais","jamais","jamais","jamais","souvent","souvent","jamais",,"souvent","souvent","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","rarement","rarement","rarement","souvent","parfois","parfois","rarement","rarement","rarement","rarement","rarement","souvent","jamais","oui, j'en ai entendu parler",,"oui","oui","oui","oui","non","non","Oui, après valorisation",,"un homme","Médecine","25 à 30 ans"
7,"nous sommes entre 6 et 10 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1998","Windows","jamais","jamais","souvent","jamais","souvent","jamais","rarement","jamais","parfois","souvent","souvent","jamais","souvent","jamais","rarement","jamais","parfois","rarement","rarement","rarement","jamais","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise","toujours","parfois","jamais","jamais","jamais","jamais","500","rarement","oui","Institution","Institution","non","jamais","jamais","souvent","souvent","toujours","jamais","jamais","jamais","Access
Clinsight","des logiciels payants","toujours","Clinsight
SAS
Excel","toujours","SAS
Excel","jamais",,"toujours","toujours","jamais","jamais","jamais","jamais","jamais","parfois","toujours","jamais","pdf","souvent","toujours","jamais","rarement","jamais","rarement","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;frais de publications (Article Processing Charges);critères HCERES, FNGE, CNRS, CNU…","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","oui","non","non","non","non","non","oui","rarement","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","non","non","Oui.","Je ne sais pas. Fonction de l'accès à des formations aux nouveaux outils numériques.","un homme","Médecine","51 à 55 ans"
8,"nous sommes entre 11 et 20 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1991","Windows;MacOS;Linux","rarement","parfois","toujours","jamais","toujours","parfois","souvent","souvent","toujours","toujours","toujours","jamais","toujours","parfois","souvent","souvent","toujours","toujours","jamais","parfois","jamais","parfois","parfois","parfois","parfois","jamais","rarement","parfois","parfois","par une veille sur ces questions;en cherchant par moi-même","toujours","rarement","jamais","jamais","jamais","jamais","plusieurs milliers d'observation sur plusieurs centaines de variables","souvent","oui","procédure interne","procédure interne","non","jamais","jamais","souvent","jamais","toujours","parfois","parfois","parfois","logiciels métiers","des logiciels internes à mon organisation;des logiciels créés à cette fin (seul ou avec des collègues);des logiciels payants;des logiciels issus d'un projet de recherche","toujours","R Python SAS","toujours","R Python SAS","toujours","R Python Sas","souvent","toujours","parfois","souvent","souvent","rarement","souvent","toujours","souvent","jamais","R ou Python","toujours","toujours","parfois","parfois","jamais","toujours","jamais","parfois","rarement","rarement","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;refus des revues prédatrices","parfois","parfois","jamais","souvent","jamais","parfois","parfois","parfois","oui","non","non","non","oui","non","oui","non","oui","souvent","parfois","rarement","jamais","rarement","rarement","rarement","jamais","jamais","jamais","jamais","souvent","jamais","oui, parfaitement","pre-registering (PLOS, OSF, AsPredicted...);journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","non","non","oui",,"une femme","Médecine","56 à 60 ans"
9,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2015","Windows","rarement","rarement","rarement","jamais","jamais","jamais","jamais","jamais","souvent","toujours","parfois","jamais","jamais","jamais","jamais","jamais","souvent","souvent","rarement","parfois","jamais","jamais","rarement","rarement","jamais","jamais","jamais","parfois","rarement","par des collègues, des amis;en cherchant par moi-même","souvent","jamais","souvent","jamais","jamais","jamais","?","rarement","non",,,"non","souvent","jamais","jamais","toujours","parfois","toujours","jamais","rarement","windows, graph pad","des logiciels payants;des logiciels internes à mon organisation;des logiciels payants ""crackés"";des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires","jamais",,"souvent","graph pad excel office","toujours","les memes","jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","parfois","jamais",,"souvent","souvent","jamais","rarement","jamais","rarement","jamais","jamais","parfois","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","oui","oui","oui","non","non","non","oui","oui","rarement","jamais","jamais","parfois","jamais","souvent","rarement","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","non","non","pas certaine","oui","un homme","Médecine","31 à 35 ans"
10,"nous sommes entre 6 et 10 personnes","ingénieur / ingénieure d'études","en CDI",,"2011","Windows","jamais","rarement","souvent","jamais","jamais","jamais","jamais","jamais","toujours","toujours","souvent","jamais","jamais","jamais","jamais","jamais","toujours","souvent","parfois","souvent","jamais","jamais","rarement","souvent","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation","toujours","jamais","jamais","jamais","jamais","jamais","quelques Mo","rarement","oui","DSI de l'institution","DSI","non","jamais","jamais","rarement","jamais","toujours","jamais","jamais","jamais","SAS, Stata, R","des logiciels payants;des logiciels libres et gratuits","toujours","SAS, Stata, R","toujours","SAS, Stata, R","toujours","SAS, Stata, R","rarement","toujours","jamais","rarement","jamais","jamais","jamais","toujours","parfois","jamais","SAS, Stata, R, PowerPoint","parfois","toujours","jamais","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges);refus des revues prédatrices","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","oui","oui","non","non","non","non","oui","non","oui","jamais","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","non","non",,,"une femme","Mathématiques, Informatiques","46 à 50 ans"
